Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-0.19675,-0.4374690265486725
-0.17673,-0.4345398230088496
-0.15672,-0.43162831858407075
-0.13667,-0.4287256637168141
-0.11664,-0.42588495575221236
-0.09657,-0.4230088495575221
-0.07668,-0.42014159292035397
-0.056624,-0.41721238938053096
-0.036245,-0.4143451327433628
-0.016164,-0.4114601769911504
0.0038835,-0.40861061946902655
0.02407,-0.405716814159292
0.044031,-0.4028318584070796
0.064092,-0.3999999999999999
0.084052,-0.3971238938053097
0.10411,-0.39431858407079645
0.12409,-0.3914424778761062
0.1441,-0.38862831858407076
0.16442,-0.38574336283185834
0.18445,-0.3828849557522124
0.20446,-0.3800530973451327
0.22449,-0.377212389380531
0.24456,-0.3743893805309734
0.26451,-0.3715663716814159
0.28459,-0.3687256637168142
0.30453,-0.36594690265486723
0.32465,-0.3631327433628318
0.34459,-0.3603185840707964
0.36504,-0.3574424778761062
0.38497,-0.35464601769911497
0.40499,-0.35183185840707965
0.42492,-0.3490442477876106
0.44498,-0.3462566371681416
0.465,-0.34346902654867256
0.48502,-0.34065486725663713
0.50503,-0.3378849557522124
0.52501,-0.3351061946902655
0.54506,-0.33232743362831857
0.56538,-0.3295309734513274
0.58538,-0.3267079646017699
0.60533,-0.3239734513274336
0.62542,-0.32120353982300887
0.64534,-0.31843362831858407
0.66543,-0.3156725663716814
0.68535,-0.31292920353982295
0.70545,-0.31016814159292033
0.72541,-0.3074159292035398
0.74543,-0.30466371681415927
0.76573,-0.30187610619469024
0.78579,-0.29915929203539815
0.80581,-0.2964070796460177
0.82576,-0.2936725663716814
0.84584,-0.2909380530973451
0.86584,-0.28823893805309736
0.88591,-0.2855132743362832
0.90592,-0.2827964601769911
0.92596,-0.2800796460176991
0.94591,-0.2773716814159292
0.96639,-0.27460176991150437
0.98636,-0.27192035398230086
1.0065,-0.26921238938053094
1.0264,-0.26653097345132737
1.0465,-0.2638318584070796
1.0665,-0.26114159292035394
1.0866,-0.2584867256637168
1.1065,-0.25580530973451326
1.1265,-0.2531150442477876
1.1466,-0.25047787610619465
1.1669,-0.24777876106194688
1.1869,-0.2451150442477876
1.2069,-0.2424513274336283
1.2271,-0.2397787610619469
1.247,-0.23717699115044247
1.2671,-0.23453097345132745
1.287,-0.23188495575221235
1.3072,-0.22926548672566371
1.3271,-0.2266371681415929
1.3472,-0.22401769911504424
1.3675,-0.22137168141592917
1.3876,-0.21874336283185838
1.4075,-0.21615044247787607
1.4275,-0.21353982300884958
1.4475,-0.2109557522123894
1.4676,-0.20837168141592918
1.4876,-0.20577876106194692
1.5076,-0.20321238938053096
1.5277,-0.2006371681415929
1.5477,-0.1980796460176991
1.5681,-0.19546017699115042
1.5881,-0.1929203539823009
1.6082,-0.19037168141592917
1.6281,-0.18784955752212387
1.6482,-0.1853008849557522
1.6682,-0.1827699115044248
1.6884,-0.18023893805309732
1.7083,-0.17773451327433626
1.7284,-0.175212389380531
1.7484,-0.17272566371681414
1.7688,-0.17018584070796458
1.7888,-0.1677079646017699
1.8088,-0.16523008849557522
1.8288,-0.16276106194690265
1.8488,-0.1602920353982301
1.8689,-0.1578141592920354
1.8889,-0.15538938053097345
1.9089,-0.15293805309734512
1.9289,-0.15051327433628317
1.9489,-0.14807079646017696
1.9692,-0.1456283185840708
1.9894,-0.1431946902654867
2.0093,-0.14081415929203542
2.0294,-0.1384070796460177
2.0493,-0.13602654867256636
2.0693,-0.13365486725663717
2.0893,-0.1312920353982301
2.1093,-0.12892920353982298
2.1294,-0.12657522123893805
2.1494,-0.12424778761061947
2.1697,-0.12187610619469026
2.1897,-0.11956637168141591
2.2098,-0.11723008849557522
2.2297,-0.11493805309734512
2.2498,-0.11262831858407081
2.2698,-0.11034513274336281
2.2899,-0.10807079646017699
2.3098,-0.10584070796460177
2.33,-0.10356637168141591
2.3499,-0.10131858407079644
2.3703,-0.09904424778761063
2.3903,-0.09684070796460177
2.4104,-0.09463716814159293
2.4304,-0.09244247787610618
2.4504,-0.09026548672566372
2.4704,-0.08808849557522123
2.4904,-0.08592566371681415
2.5104,-0.0837787610619469
2.5305,-0.08164955752212388
2.5506,-0.07952566371681416
2.5708,-0.07739823008849557
2.5909,-0.07527522123893805
2.6109,-0.0732
2.631,-0.07113451327433627
2.651,-0.06909380530973451
,
Sweep Time (s),Voltage Rate (V/s)
5.0094850063323975,0.5689207566041954
